ID	Exhibit	Photo	@Photo_Slug	Description	Name	Bio	@Path
30811	Faine Greenwood's Drone	http://makerfaire.files.wordpress.com/2014/04/phantom.jpg	phantom.jpg	Drone enthusiast and photographer. Working on a story and video about MakerFaire 2014. 	Faine Greenwood	"Stanford journalism masters student, Southeast Asia foreign correspondent, aspirant pro drone photographer + filmmaker. "	images:phantom.jpg
30809	Whiskeydrome	http://makerfaire.files.wordpress.com/2014/04/drome-cross.jpg	drome-cross.jpg	The Whiskeydrome is and action packed display of talent and risks on a 1912 boardtrack recreation. Watch as we show you what is possible while riding bicycles at full speed in a circle!	Whiskeydrunk Cycles	"Group of friends who build things, ride back and now show off toys!"	images:drome-cross.jpg
30778	San Francisco Bazaar	http://makerfaire.files.wordpress.com/2014/04/bear_square.jpg	bear_square.jpg	"San Francisco Bazaar is the west coast branch of this faire. Expect a Handmade market, Indie entertainment extravaganza and D.I.Y. Festival all under one roof!rn"	San Francisco Bazaar	"San Francisco Bazaar is the west coast branch of this faire. Expect a Handmade market, Indie entertainment extravaganza and D.I.Y. Festival all under one roof!"	images:bear_square.jpg
30738	Lazer Kittens Aerial Drone Team	http://makerfaire.files.wordpress.com/2014/04/crissy-field-kai-drone.jpg	crissy-field-kai-drone.jpg	The Lazer Kittens Aerial Drone Team will chase away flying mice and exercise our ground based canine brothers to exhaustion in the Game of Drones competition. 	"Eddie Codel, Glenn McKenna"		images:crissy-field-kai-drone.jpg
30623	Twentyseven Gears	http://makerfaire.files.wordpress.com/2014/04/cassowary-topangle-web.jpg	cassowary-topangle-web.jpg	"I create mechanical sculptures using steel, brass, and natural materials. My interactive works explore themes of human experience and formal experiments in patterned and pseudo-random mechanics. "	Benjamin Cowden	Benjamin Cowden makes interactive mechanical sculptures that explore natural materials and the human condition.	images:cassowary-topangle-web.jpg
30549	The Gold Bug			"I make jewelry and small accessories featuring vintage watch movements and other vintage objects.  The pieces are made using a variety of hot and cold connection techniques including riveting, soldering, piercing, sawing, hammering, and manual forming."	Melissa Tomerlin	"I have been making jewelry off and on since I was a little girl, starting with reworking flea market finds, odds and end I collected, and cast-off hardware. Then I discovered the beauty of old watch movements. A few years ago I decided I just had to MAKE full time and The Gold Bug was born."	images:
30543	nothing-obvious	http://makerfaire.files.wordpress.com/2014/04/nothing_obviouslogobb.jpg	nothing_obviouslogobb.jpg	"Inspired by life. Printed by hand. We take things in life we see/fascinated by & translate it into apparel. Imagery is inspired from the natures that surrounds us... keet programs... hours spent int he reference section of the library.   We have a lot of learning, and love to share that!"	H.A. Pearson	"Inspired by life. Printed by hand. Nothing-obvious is an indie printing company tucked behind the redwood curtain. We take inspiration from our lives and make inspired clothing. things like barn owls spotted on our evening bike rides through our neighborhood, spore prints from mushrooms we hunted, and the amazing trees we live amongst. We print everything by hand making each garment a little different from the others."	images:nothing_obviouslogobb.jpg
30537	DawnKathrynStudio	http://makerfaire.files.wordpress.com/2014/04/dawnkathryn.jpg	dawnkathryn.jpg	Original illustrations hand printed on t-shirt and tote bags. Handmade felt woodland animal masks.	Dawn Diskowski	Original illustrations hand printed on t-shirt and tote bags. Handmade felt woodland animal masks.	images:dawnkathryn.jpg
30531	Chris Yates Studios	http://makerfaire.files.wordpress.com/2014/04/puzzle.jpg	puzzle.jpg	"We hand-make painted wooden jigsaw puzzles, sculpture, toys and other whimsical gifts. You can see some of our work here: http://www.flickr.com/photos/30135689@N05/sets/"	Chris Yates	"Chris Yates is one of the most active and prolific wooden jigsaw puzzle cutters in the world. His Bafflers are not only challenging, but also works of art."	images:puzzle.jpg
30521	e-NABLE 3D-Printed Hands Service Station	http://makerfaire.files.wordpress.com/2014/04/pasted_image_4_17_14__12_08_pm.jpg	pasted_image_4_17_14__12_08_pm.jpg	e-NABLE Helping Hands Service Station.  Need a 3D-printed hand?  Come on in! Want to help?  Learn how! Just interested? Watch 3D printed hands being made and fitted for children and adults with missing fingers.	"e-NABLE community, Jon Schull"		images:pasted_image_4_17_14__12_08_pm.jpg
30509	pedal car races	http://makerfaire.files.wordpress.com/2014/04/son-of-blau.jpg	son-of-blau.jpg	The Son of Blau is a state of the art pedal car that has been an integral part of creating havoc at all of the FBUC Figure 8 Pedal Car Races!	joey castor	I am an artist and high school art teacher who likes to make things.	images:son-of-blau.jpg
30488	Racer 5 peddlecar	http://makerfaire.files.wordpress.com/2014/04/image5.jpg	image5.jpg	The Racer 5 Peddlecar	Rusty Cleaver	The Sheriff of the Great City State of ShinolarnOwner of Tractorhaus Productions	images:image5.jpg
30467	Brittany Crepes	http://makerfaire.files.wordpress.com/2014/04/brittany_dsc06746.jpg	brittany_dsc06746.jpg	"Authentic French crepes from the Brittany region made to order using fresh, local ingredients picked at the farmers market. Our savory crepes are made with organic gluten-free and dairy-free buckwheat flour; sweet crepes are made with original all-purpose flour."	Laurent Le Barbier	"Chef Laurent was born and raised in the Brittany region of France, where crepe-making dates back more than 400 years.  It was a family tradition to make crepes every week. "	images:brittany_dsc06746.jpg
30457	The Chairman Truck	http://makerfaire.files.wordpress.com/2014/04/chairman_baked-and-steamed-pork-belly.jpg	chairman_baked-and-steamed-pork-belly.jpg	"We offer steamed and baked buns that use the freshest ingredients - savory and addictive. From the delectable tender pork belly to the mouth-watering miso-cured tofu, we offer tasty treats to satisfy all your bun cravings."	The Chairman Truck	"Using secret recipes from the Little Red Cookbook, The Chairman Truck is leading the Great Culinary Leap Forward. Our food is inspired by the original street food of Asia: bold, spicy, unique, fast, delicious."	images:chairman_baked-and-steamed-pork-belly.jpg
30426	Colleen Paz	http://makerfaire.files.wordpress.com/2014/04/colleen_3493x-site.jpg	colleen_3493x-site.jpg	Kinetic Sculpture	colleen paz	colleen paz is an interdisciplinary artist/designer/builder living and working in the san francisco bay area.   she has a bfa from massachusetts college of art and a m.arch from the university of cali	images:colleen_3493x-site.jpg
30408	Fpv quadcopter flying at Game of Drones	http://makerfaire.files.wordpress.com/2014/04/h107d06.jpg	h107d06.jpg	I am going to fly my drone at the game of drone arena at maker faire bay area 2014.	Duncan Mulgrew	I like flying Drones.	images:h107d06.jpg
30401	Armed and Dangerous	http://makerfaire.files.wordpress.com/2014/04/armed_and_dangerous-3.jpg	armed_and_dangerous-3.jpg	"''Armed and Dangerous'' is a large kinetic sculpture made from found materials.  More specifically it is a giant, mulit-armed, multi-faced, dual-zombie-powered, mercury-activated, electro-mechanical monster!"	Nemo Gould	"I believe strongly that art can be both meaningful and enjoyable, and I aim to continue working towards unifying these two principles "	images:armed_and_dangerous-3.jpg
30378	RossLab	http://makerfaire.files.wordpress.com/2014/04/rosslab-ad-maker-faire.jpg	rosslab-ad-maker-faire.jpg	"RossLab makes Hand-thrown ceramics, tableware, and gifts."	Casey Starks	"RossLab was founded in 2011 by Rossella Manzini, a potter and photographer from Italy now living in California, USA. She creates her ceramics on the potter's wheel or shaping clay by hand, giving her handmade creations a contemporary feel inspired by nature, art, travels, and anything vintage.  Colorful and non conventional, dreamy and playful, RossLab's ceramics are handmade with love and care from start to finish: special things for special people, to enjoy everyday."	images:rosslab-ad-maker-faire.jpg
30376	Maker Shed	http://makerfaire.files.wordpress.com/2014/04/img001.jpg	img001.jpg	"Think of the coolest technology bookstore, museum gift shop, arts & craft shop, and electronics store you can dream up -- now roll them all into one. That's the idea behind Maker Shed."	Maker Shed	"Think of the coolest technology bookstore, museum gift shop, arts & craft shop, and electronics store you can dream up -- now roll them all into one. That's the idea behind Maker Shed. It's an irresis"	images:img001.jpg
30367	Hummus Apparel	http://makerfaire.files.wordpress.com/2014/04/hummus-apparel-logo.jpg	hummus-apparel-logo.jpg	"Hummus Apparel makes the Booyah Belt. It's a new kind of belt that allows you to easily remove the buckle. As a result, you can have lots of colors with just one buckle and you can go through airport security.   We are based in Oakland and make all of our products here in the Bay Area."	Thomas Maiorana	"Lionel Mohri and Thomas Maiorana founded Hummus Apparel as a way to connect to their roots as makers, designers and engineers."	images:hummus-apparel-logo.jpg
30361	Sora Designs	http://makerfaire.files.wordpress.com/2014/04/sora.png	sora.png	'Sora' means 'sky' in Japanese. 'Possibilities are as open as the sky' is the motto behind the brand. I will show a new collection of geometric brass jewelry in this fair in addition to the original flora theme.	Yueh Wen Chang	"Yueh-Wen Chang (Wen) of Sora Designs knew from a young age her path in life should be in the arts, but opted for a career in academics. She eventually got her Ph.D. in early intervention from the Joint Doctoral Program at U.C. Berkeley and San Francisco State University. While in the graduate school, Wen started making jewelry as an innocent creative outlet. In 2009, Wen quit her day job as a researcher at a government agency to design/craft/operate Sora Designs full time. 'Sora' means 'sky' in Japanese. 'Possibilities are as open as the sky' is the motto for Wen's new obsession. She strives to make jewelry that are functional and stunning as well as affordable."	images:sora.png
30354	By Nieves :: Handmade Natural Body Care	http://makerfaire.files.wordpress.com/2014/04/bathset.png	bathset.png	"Handmade Natural Body Care made with super natural ingredients, sassy sincerity and apothecary style. Everything Good - Nothing Bad 'Best Local Skin Care Line' SF Weekly 2010"	Nieves Rathbun	"Handmade Natural Body Care made with super natural ingredients, sassy sincerity and apothecary style. Everything Good - Nothing Badu 'Best Local Skin Care Line' SF Weekly 2010"	images:bathset.png
30352	ROBOTIS: DARWIN MINI Dancing Team	http://makerfaire.files.wordpress.com/2014/04/30352.jpg	30352.jpg	"The DARwIn-Mini is a min version of our ever popular DARwIn-OP. This new humanoid features: an Android OS, OpenCM 9.04 controller, XL-320 Smart Servo, Bluetooth connections, and compatibility with 3D-printing modifications."	Robotis	http://www.robotis.com/xe/	images:30352.jpg
30124	Poppy 3D - turn your iPhone into a 3D camera	http://makerfaire.files.wordpress.com/2014/04/poppy_black_black.jpg	poppy_black_black.jpg	"Poppy turns any iPhone into a 3D camera. Capture, view and share 3D video clips and photos, all using just your iPhone's camera and the optics built into Poppy."	"Ethan Lowry, Joe Heitzeberg"		images:poppy_black_black.jpg
30133	Spinning Mermaid Fibers	http://journeyofamermaid.com/wp-content/uploads/2013/10/cropped-MermaidLogo.png	cropped-MermaidLogo.png	"We offer luxury artisan hand dyed and handspun yarn along with natural hand painted and carded fiber in the most vibrant colors for felting, spinning or any fiber crafts. You will also find colorful drop spindles for making your own art yarn."	Karla Varela	"Karla creates unique handspun yarns by mixing different fine wools, threads and other elements. She also has a keen eye for color and a deep passion for dyeing.The results of her love for color and fiber collide producing fabulous yarns to delight your senses and challenge your inner creative knitting skills."	images:cropped-MermaidLogo.png
30134	.retool.	http://makerfaire.files.wordpress.com/2014/04/retool-avi.jpg	retool-avi.jpg	"We design and make vegan wallets, cases, and bags. Many of our materials, including seatbelt webbing and Cordurau® nylon, are diverted from landfills."	Jacob Fisher	"We make vegan bags, cases, wallets, and more. We emphasize style, function, and durability. Many of our products use repurposed materials such as seat belt webbing."	images:retool-avi.jpg
30135	11:11 enterprises	http://makerfaire.files.wordpress.com/2014/04/1111logo-pp.jpg	1111logo-pp.jpg	"I design colorful, diverse, image rich accessories made with recycled materials. Handmade in Los Angeles and in business since 2003. Lots of new products this year - luggage tags already launched with greeting cards and yoga mats in the works!"	Jamila Tazewell	"11:11 Enterprises owner Jamila Tazewell is thrilled to be celebrating 11 years in business this year. Jamila specializes in curating vintage imagery + creating inspired collages for her line of accessories, all handmade in California."	images:1111logo-pp.jpg
30136	7 Starr St	http://makerfaire.files.wordpress.com/2014/04/logo-e1397594537409.png	logo-e1397594537409.png	"Hand crafted luxurious leather goods including but not limited to handbags, belts, jewelry and home goods."	Sierra Wingate		images:logo-e1397594537409.png
30137	A Needle Runs Through it	http://makerfaire.files.wordpress.com/2014/04/ba14_sfbaz_aneedlerunsthroughit.png	ba14_sfbaz_aneedlerunsthroughit.png	Pretty and practical boxy bags handmade in unique quality cotton fabrics.	Maria Negrete		images:ba14_sfbaz_aneedlerunsthroughit.png
30138	Alchemilla	http://makerfaire.files.wordpress.com/2014/04/alchemillalogo.jpg	alchemillalogo.jpg	"Alchemilla is the exclusive craft business of Oakland based artist Jen Lorang. We use vintage, deadstock and repurposed materials to create a unique line of jewelry, prints, hand-bound journals and other magical ephemera."	Jen Lorang		images:alchemillalogo.jpg
30139	Amos Goldbaum	http://www.amosgoldbaum.com/Shirts/dolorespark/dolores.jpg	dolores.jpg	"Hand-drawn, hand-screened apparel and prints of iconic, local, and historic San Francisco landmarks."	Amos Goldbaum		images:dolores.jpg
30140	Ana Apple	http://makerfaire.files.wordpress.com/2014/04/anaappleclothing-21.jpg	anaappleclothing-21.jpg	"Ana Apple proudly creates quirky apparel for infants and youth that celebrate whimsy and inspire generosity. A portion of our proceeds benefit the Mustard Seed School, an educational program for Sacramento's homeless youth."	Ana Manzano		images:anaappleclothing-21.jpg
30141	Animal Instincts	http://static.squarespace.com/static/517ff035e4b00cbd5d99af72/t/52d498ece4b01276a21c4b63/1389664493421/photo-7.JPG?format=750w	photo-7.JPG?format=750w	"Animal Instincts Apparel fuses street art, illustration, and urban lifestyle. Line drawings adorn hoodies and high quality T-shirts for a fun and kitchy look for children and adults. The brand has become known for iconic images of animals overtaking popular landmarks such as the golden gate bridge."	Jamai Lowell		images:photo-7.JPG?format=750w
30142	Applesauce Designs	https://img1.etsystatic.com/010/0/5380056/il_570xN.422997907_rpwa.jpg	il_570xN.422997907_rpwa.jpg	One-of-a-kind vintage inspired kid's clothes.	Elizabeth Buenrostro		images:il_570xN.422997907_rpwa.jpg
30143	Art of Natalie McKean	https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-ash2/t1.0-9/6117_520640517974011_186964286_n.jpg	6117_520640517974011_186964286_n.jpg	"I sell art prints of my scratch art, hand-painted light switch plates, hand-painted mugs and sake sets, and silk-screened t-shirts all with my original art and designs."	Natalie McKean		images:6117_520640517974011_186964286_n.jpg
30144	Artha Handmade Hemp Soap	http://www.arthasoaps.com/wp-content/uploads/2012/09/PICT0079.jpg	PICT0079.jpg	"Since 1993 cold-process, handmade in small batches w/ fine whole ingredients: food grade coconut oil, Calif olive oil, Calif rainwater, alkali (from sea salt), superfatted w/ hemp seed oil, scented w/ essential oils. Packaged in beautiful eco papers. A one-woman local green cottage business."	Allysyn Kiplinger		images:PICT0079.jpg
30145	As Wood As It Gets	http://www.aswoodasitgets.com/wp-content/uploads/2013/11/P7260021-1024x768.jpg	P7260021-1024x768.jpg	Hand turned wood kitchen items from reclaimed exotic lumber. This would be my 4th Maker Faire with you guys I think.	Tony Fredericks		images:P7260021-1024x768.jpg
30146	B+ Shop	http://makerfaire.files.wordpress.com/2014/04/logobplus_et.jpg	logobplus_et.jpg	"The B+ Shop was created with school and design nerd in mind. The shop's intent is to create cool items that remind you of that subject you loved or hated in school. Besides our nerdy coasters, we're going to be expanding into NOTEBOOKS, papergoods and lab gear for home use!"	Byron Samayoa		images:logobplus_et.jpg
30147	Bird of Virtue	https://img1.etsystatic.com/043/1/5831383/il_570xN.572931573_ec6k.jpg	il_570xN.572931573_ec6k.jpg	Bird of Virtue offers intricately detailed hand crafted fine wooden jewelry for men and women.	Kristina Basgen		images:il_570xN.572931573_ec6k.jpg
30148	Blushie	http://cdn.shopify.com/s/files/1/0279/8079/products/Stardust_2_1024x1024.jpg?v=1383270511	Stardust_2_1024x1024.jpg?v=1383270511	"Fun and functional soaps, candles, perfumes, and lip products with unique designs and delightful scents."	Megan O'Keefe		images:Stardust_2_1024x1024.jpg?v=1383270511
30149	Bottle of Clouds	http://makerfaire.files.wordpress.com/2014/04/bottleofclouds.png	bottleofclouds.png	I make one of kind hand- painted wooden pins and earrings and one of kind fabric headbands.	Kyeong Min Yu		images:bottleofclouds.png
30150	Bug Under Glass	http://bugunderglass.com/shop/insect_art/butterfly-skeleton-monarch-butterfly_files/butterfly-skeleton-monarch.jpg	butterfly-skeleton-monarch.jpg	Real Framed Insect Art and Jewelry. Professionally framed by and entomologist with eco-friendly farm raised insects.	Kevin Clarke		images:butterfly-skeleton-monarch.jpg
30152	C Westbrook Designs	http://distilleryimage11.ak.instagram.com/b1cb91eaba0711e38bdf124f524ee003_8.jpg	b1cb91eaba0711e38bdf124f524ee003_8.jpg	"C Westbrook Designs (taking up approximately 3/4 of the vending space): Victorian, Steampunk, and Doctor Who inspired 3D Printed jewelry, gifts, and products (iPhone cases, etc)."	Christina Westbrook		images:b1cb91eaba0711e38bdf124f524ee003_8.jpg
30153	Cadette	http://cadettedesigns.com/blog/wp-content/uploads/2013/10/Cadette-demi-lunes-and-clutch.jpg	Cadette-demi-lunes-and-clutch.jpg	"Cadette is Mariclare McKnight is handmade line of sumptuous leather and canvas goods. Mariclare designs and constructs all pieces in Santa Cruz, California. The line includes small bags/wallets, hip bags, clutches, dopp kits, and handbags. Some items are his/hers."	Mariclare McKnight		images:Cadette-demi-lunes-and-clutch.jpg
30155	City Green			"My name is Kim and I am a Landscape and Urban Designer who has been inspired by the green spaces I've experienced and lived near. I was born and raised by the beautiful ""City by the Bay"" and now currently reside and relish the harsh textures and cultural blends of New York City. I sell a variety of prints and accessories associated with my love for cities and urban environments. Please feel free to email me if you have questions."	Kimberly Chan		images:
30156	Cody Vrosh & Binary Winter Press	http://makerfaire.files.wordpress.com/2014/04/codyvrosh_cc01.jpg	codyvrosh_cc01.jpg	"Binary Winter Press (artist Cody Vrosh and writer Sheatiel Sarao) creates original art, books and hand screen printed t-shirts, ties, and scarves inspired by the things they love best, from robots to fairy tales, steampunk and science. Everything is handmade in their eco-friendly and vegan studio."	Cody Vrosh		images:codyvrosh_cc01.jpg
30157	Compass Rose Design	http://cdn.shopify.com/s/files/1/0172/9836/files/compass_rose_design_logo_maker_grande.jpg?11221	compass_rose_design_logo_maker_grande.jpg?11221	"Our jewelry captures the history of technology and does GREAT with Maker Folks. We're SF Bazaar alumni, did East Bay Maker Faire. Yes, we have some steampunk, but HISTORY of objects is our focus! Real antiques! http://www.compassrosedesignjewelry.com/blogs/blog/11810189-inspired-by-the-maker-faire"	Creek Van Houten		images:compass_rose_design_logo_maker_grande.jpg?11221
30158	Craftosterone	http://makerfaire.files.wordpress.com/2014/04/craftosteronelogoandheart.jpg	craftosteronelogoandheart.jpg	Lincoln World makes 3D Printed as well as laser cut artwork and jewelry	Lincoln Lamm		images:craftosteronelogoandheart.jpg
30160	Delusions of Grandeur	https://dl.dropboxusercontent.com/u/102527817/square-dg-logo.jpg	square-dg-logo.jpg	"Delusions of Grandeur hand makes fun, quirky, minimal and sophisticated jewelry for the stylish gal that loves geometry!"	Keren Lemp		images:square-dg-logo.jpg
30161	Dragon's Treasure	http://img0.etsystatic.com/000/0/5262950/il_570xN.166970502.jpg	il_570xN.166970502.jpg	"I make jewelry using the lost wax casting method. My jewelry is all handmade without using any computers. I make sterling silver or bronze pendants, rings and earrings often set with real stones. Some of my themes are Steampunk, Japanese, Celtic, Art Nouveau and Norse. My work is very detailed."	Robert Spickard		images:il_570xN.166970502.jpg
30162	e.b.friday	http://static.squarespace.com/static/526dc538e4b09c47421b347e/t/533226c9e4b002602cbb0e4f/1395795689375/?format=1000w	?format=1000w	e.b.friday finds beauty and purpose in what's been left behind. Remnant upholstery and discontinued swatches become clutches with an integrated wallet. Secondhand neckties become buckle belts or wrap-style obis. I design and craft each item in small batches in San Francisco.	Erika Friday		images:?format=1000w
30163	Eco Apothecary	https://s-media-cache-ec0.pinimg.com/736x/12/f6/13/12f613530e52f614ff26a84742df9dc2.jpg	12f613530e52f614ff26a84742df9dc2.jpg	"We make custom scented made in-front of the customer... Organic, Vegan, Sulfate & Paraben Free bath and body products & custom Perfume . Essential oil or Fragrance oils can be added to any product. Shea ButLotion, Saving oil, Deodorant, Bath Salts & more!"	Danielle Bray		images:12f613530e52f614ff26a84742df9dc2.jpg
30164	Ex-Boyfriend	http://www.ex-boyfriendcollection.com/shop/models/45_2_black_model_lg.jpg	45_2_black_model_lg.jpg	"Cute, clever, geeky and funny original illustrations by Matt Snow featured on clothing and accessories for men, women and kids."	Matt Snow		images:45_2_black_model_lg.jpg
30165	Feathery Leathery	http://makerfaire.files.wordpress.com/2014/04/30165.jpg	30165.jpg	"We're maker's of fine Men/Women's Leather Hats & accessories. Inspired by Steampunk/Edwardian/Elven/Faerie/Fantasy Couture. Our unique designs include Bracers, Masks, Crowns, Lil Witch Hats, Earrings, Belts, Vests, Fingerless Gloves, Corset Cuffs & more! Handmade & Laser Engraved in Santa Cruz, CA!"	Azalyne Skye & Aurelius Rune		images:30165.jpg
30166	Fernworks	http://makerfaire.files.wordpress.com/2014/04/fernworks.png	fernworks.png	"Fernworks creates a line of delicate, dreamlike jewelry which blends tiny hand painted scenes and found ephemera like moss, bones, and feathers into layers of resin. These tiny 3-D landscapes are populated by trees, birds, bears, foxes and other woodland creatures."	Faryn Davis		images:fernworks.png
30167	field day	http://cdn.shopify.com/s/files/1/0195/7440/products/Field_Day_Sunday_94943_1024x1024.jpg?v=1376535529	Field_Day_Sunday_94943_1024x1024.jpg?v=1376535529	"field day designs flattering, versatile, long lasting, and completely conscious ready-to-wear line that flatter the figure. Field day utilizes the most sustainable materials available such as reclaimed vintage bed sheets, organic cotton, bamboo and dead stock vintage fabrics. Made in Oakland CA."	Trinity Cross		images:Field_Day_Sunday_94943_1024x1024.jpg?v=1376535529
30168	fiftyseven-thirtythree	http://makerfaire.files.wordpress.com/2014/04/bbg-mt-steel_grande.jpg	bbg-mt-steel_grande.jpg	"fiftyseven-thirtythree is proof that being street-smart and Earth-smart can go hand in hand. Producing original art that is sometimes political, sometimes sexy, & always badass, these sweatshop-free t-shirts and hoodies are handmade using innovative stencil, applique, and screen printing techniques."	Loretta Nguyen		images:bbg-mt-steel_grande.jpg
30169	Fluff Engine	https://lh5.googleusercontent.com/-3sNv_G8iom4/Uzh8OkCK6hI/AAAAAAAABhQ/BwKJjwbAbDs/w1127-h976-no/Fluffengine300dpi.jpg	Fluffengine300dpi.jpg	Fluff Engine makes unique handmade plush toys using combinations of new and vintage materials. Each toy design is also made available as a step-by-step instructional pattern booklet so that you can sew a plush toy yourself!	Claire Sanders		images:Fluffengine300dpi.jpg
30170	Glitter Side	http://makerfaire.files.wordpress.com/2014/04/glitter.jpg	glitter.jpg	Original hand made glitter art paintings.	Charlene Kelley		images:glitter.jpg
30171	Hanasaurusrex	http://makerfaire.files.wordpress.com/2014/04/logo_hanasaurusrex.jpg	logo_hanasaurusrex.jpg	"Hanasaurusrex designs micro crochet charms, accessories, amigurumi plush toys and more. Set to release this spring are patterns for purchase, micro crocheted charm kits, hand knit pet garments, a line of Blythe fashions."	Hannah Busekrus		images:logo_hanasaurusrex.jpg
30172	High Prairie Pottery	http://makerfaire.files.wordpress.com/2014/04/spiraltrianglebrooch.jpg	spiraltrianglebrooch.jpg	"Hand crafted Raku and Saggar buttons, individually glazed and fired. Suitable for use on sweaters, other garments or hats, the buttons have a shank on the back. Vintage buttons as well as carved models are used as the basis of the buttons and pins. We also make yarnbowls, and jewelery."	Jim Atchison		images:spiraltrianglebrooch.jpg
30173	HiLo Studio	https://img0.etsystatic.com/024/0/6253531/il_570xN.502014510_l47p.jpg	il_570xN.502014510_l47p.jpg	"I'm Lo of HiLo Studio, based in San Francisco. My creative process is a time when I can slow down, meditate. The jewelry I make is a reflection of this. Each piece is a quiet moment, a simple thought, concise."	Lauren Engel		images:il_570xN.502014510_l47p.jpg
30174	House of Honore	https://scontent-a-sjc.xx.fbcdn.net/hphotos-frc3/t1.0-9/q77/s720x720/971713_10152868454975191_692686161_n.jpg	971713_10152868454975191_692686161_n.jpg	"Playful animal and monster fleece hats, accessories, and plushies; all designed and lovingly handmade by Isolde Honore. Embrace your silly side."	Isolde Honore		images:971713_10152868454975191_692686161_n.jpg
30175	hrvst3D	http://static.squarespace.com/static/51e8787ee4b0b07947c912b3/51e8787ee4b0b07947c912b6/52e43cbfe4b0ae0395cd9ae4/1390689482862/Gold%20GGB%20Necklace.jpg?format=300w	Gold%20GGB%20Necklace.jpg?format=300w	"3D-Printed Landmarks Jewelry- We design and sell miniature 3D-printed models of popular landmarks from the Bay Area and other cities. The models are sold as charms and as jewelry, and come in materials ranging from colorful nylon plastic to sterling silver and gold plated brass."	Noah Farb		images:Gold%20GGB%20Necklace.jpg?format=300w
